"Package","Version","Built"
"rappdirs","0.3.4","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:11 UTC; unix"
"rcmdcheck","1.4.0","R 4.6.0; ; 2026-04-24 17:48:47 UTC; unix"
"RColorBrewer","1.1-3","R 4.6.0; ; 2026-08-12 20:33:09 UTC; unix"
"Rcpp","1.1.2","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:10 UTC; unix"
"reactable","0.4.5","R 4.6.0; ; 2026-08-12 20:39:09 UTC; unix"
"reactR","0.6.1","R 4.6.0; ; 2026-08-12 20:34:25 UTC; unix"
"rlang","1.3.0","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:12 UTC; unix"
"rmarkdown","2.32","R 4.6.0; ; 2026-09-02 04:11:33 UTC; unix"
"rprojroot","2.1.1","R 4.6.0; ; 2026-04-23 22:34:40 UTC; unix"
"S7","0.2.2","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:09 UTC; unix"
"sass","0.4.10","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:34:43 UTC; unix"
"scales","1.4.0","R 4.6.0; ; 2026-08-12 20:34:29 UTC; unix"
"sessioninfo","1.2.4","R 4.6.0; ; 2026-06-05 14:42:56 UTC; unix"
"stringi","1.8.9","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:23 UTC; unix"
"stringr","1.6.0","R 4.6.0; ; 2026-08-12 20:35:10 UTC; unix"
"sys","3.4.3","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:14 UTC; unix"
"testthat","3.3.2","R 4.6.0; aarch64-unknown-linux-gnu; 2026-04-23 23:02:01 UTC; unix"
"tibble","3.3.1","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:35:50 UTC; unix"
"tidyr","1.3.2","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:38:43 UTC; unix"
"tidyselect","1.2.1","R 4.6.0; ; 2026-08-12 20:35:04 UTC; unix"
"timechange","0.4.0","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:38 UTC; unix"
"tinytex","0.61","R 4.6.0; ; 2026-09-18 04:12:39 UTC; unix"
"utf8","1.2.6","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:24 UTC; unix"
"V8","8.2.0","R 4.6.0; aarch64-unknown-linux-gnu; 2026-07-06 14:51:50 UTC; unix"
"vctrs","0.7.3","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:34:27 UTC; unix"
"viridisLite","0.4.3","R 4.6.0; ; 2026-08-12 20:33:28 UTC; unix"
"waldo","0.6.2","R 4.6.0; ; 2026-04-23 22:40:23 UTC; unix"
"withr","3.0.3","R 4.6.0; ; 2026-08-12 20:33:30 UTC; unix"
"xfun","0.61","R 4.6.0; aarch64-unknown-linux-gnu; 2026-09-17 04:33:18 UTC; unix"
"xml2","1.6.0","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:57 UTC; unix"
"xopen","1.0.1","R 4.6.0; ; 2026-04-24 17:28:51 UTC; unix"
"yaml","2.3.12","R 4.6.0; aarch64-unknown-linux-gnu; 2026-08-12 20:33:33 UTC; unix"
"base","4.6.1","R 4.6.1; ; 2026-08-23 18:01:00 UTC; unix"
